Road to Fano;Capitan Pelato deve raggiungere Fano prima che faccia buio, riuscirà nell'impresa?
Notti di Fuoco a Casalecchio di Reno;Capitan Pelato deve aiutare un cane in difficoltà.
Entro Reggio, Esco Reggio;Capitan Pelato deve scoprire cosa si nasconde dietro a un curioso modo di dire.
Entro Reggio, Esco Reggio, parte II;Capitan Pelato deve scoprire cosa si nasconde dietro a un curioso modo di dire, parte II.
fraz. Appalto di Soliera;Capitan Pelato, diretto a Carpi, si smarrisce nella fraz. Appalto di Soliera, riuscirà a raccapezzarsi?
Como-Chiasso;Capitan Pelato corre sulla Como Chiasso inseguito dalla pula, egli non sa perché e dovrà discolparsi prima di domattina.
Life in Bassano;Capitan Pelato deve trovare il mitico tesoro magico di Bassano del Grappa.
Nuclear winter in Campobasso;Capitan Pelato deve scongiurare una minaccia nucleare alla centrale atomica di Campobasso.
Dalle Ande a Pescara;Capitan Pelato è inseguito da un argentino dai misteriosi occhiali magici, l'unica via: la fuga.
Massacarrara;Un'anziana signora deve attraversare la strada a Massacarrara, Capitan Pelato è l'unico che può aiutarla.
Gravellona Toce;Il mobilificio di Gravellona Toce è in realtà un ritrovo di persone che fanno messe nere e sacrifici di galline, Capitan Pelato deve fermarli.
Casalpusterlengo;Un orribile maleficio opprime questa città, Capitan Pelato deve correre e risolvere la situazione.
Veneziamestre;Capitan Pelato deve far qualcosa per l'acqua alta.
Mentone;Capitan Pelato deve aiutare un ragazzino delle medie con i compiti di matematica.
Grandola ed Uniti;Capitan Pelato deve trovare una spiegazione a chi sono i mitologici Uniti.
Montalto Uffugo;Capitan Pelato deve trovare l'antica pietra dai poteri magici di Montalto Uffugo, l'unico indizio: la pietra si trova a Montalto Uffugo.
Zadina;Capitan Pelato si trova a Zadina
Portoferraio;La resa dei conti! (Capitan Pelato contro il Fungo Maledetto)
